Date       ,Adj Close   ,Close       ,High        ,Low         ,Open        ,Volume   ,SP_Ajclose  ,SP_close    ,SP_high     ,SP_low      ,SP_open     ,SP_volume  ,DJ_Ajclose  ,DJ_close    ,DJ_high     ,DJ_low      ,DJ_Open     ,DJ_volume  ,EG_Ajclose  ,EG_Close    ,EG_high     ,EG_Low      ,EG_open     ,EG_volume ,EU_Price ,EU_high     ,EU_low      ,EU_Trend ,EU_open     ,OF_Price ,OF_Trend ,OF_High      ,OF_Low       ,OF_Open     ,OF_Volume ,SF_Trend ,SF_Price ,SF_High      ,SF_Low       ,SF_Open      ,SF_Volume ,USB_Price   ,USB_Trend ,USB_High ,USB_Low     ,USB_Open    ,PLT_Price ,PLT_High     ,PLT_Low      ,PLT_Open     ,PLT_Trend ,PLD_Trend ,PLD_Price ,PLD_High     ,PLD_Low      ,PLD_Open     ,RHO_PRICE ,USDI_Price ,USDI_Trend ,USDI_High ,USDI_Low ,USDI_Open ,USDI_Volume ,GDX_Adj Close ,GDX_Close   ,GDX_High    ,GDX_Low     ,GDX_Open    ,GDX_Volume ,USO_Adj Close ,USO_Close    ,USO_High     ,USO_Low      ,USO_Open     ,USO_Volume
2019-01-02 ,121.3300018 ,121.3300018 ,121.75      ,120.8799973 ,121.3499985 ,12776200 ,2510.030029 ,2510.030029 ,2519.48999  ,2467.469971 ,2476.959961 ,3733160000 ,23346.24023 ,23346.24023 ,23413.4707  ,22928.58984 ,23058.60938 , 321570000 ,188.4486542 ,213.6600037 ,215.7200012 ,211.9600067 ,214.5299988 ,   204400 ,Nan      ,0.300000012 ,0.270000011 ,Nan      ,0.300000012 ,Nan      ,Nan      , 47.77999878 ,44.34999847  ,45.79999924 ,   850480 ,Nan      ,Nan      , 28.09333229 , 27.05333328 , 27.11333275 ,   767550 ,36.65940475 ,Nan       ,Nan      ,45.04999924 ,45.22000122 ,Nan       , 800.2000122 , 787.2999878 , 791.9000244 ,Nan       ,Nan       ,Nan       , 58.15000153 , 56.63999939 , 58.04000092 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.77111435 ,21.04999924 ,21.22999954 ,20.84000015 ,21.11000061 ,  39963400 ,  78.80000305 , 78.80000305 , 80.63999939 , 74.87999725 , 75.36000061 ,   4137850
2019-01-03 ,122.4300003 ,122.4300003 ,122.4599991 ,121.7300034 ,121.7799988 ,15440800 ,2447.889893 ,2447.889893 ,2493.139893 ,2443.959961 ,2491.919922 ,3858830000 ,22686.2207  ,22686.2207  ,23176.39063 ,22638.41016 ,23176.39063 , 424240000 ,184.1621094 ,208.8000031 ,212.2299957 ,208.0700073 ,212.2100067 ,   288300 ,Nan      ,0.300000012 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 47.49000168 ,45.34999847  ,46.25999832 ,   788718 ,Nan      ,Nan      , 27.48666763 , 26.53333282 , 27.41333389 ,  1015350 ,36.14531326 ,Nan       ,Nan      ,45.63999939 ,46.20000076 ,Nan       , 796.7999878 , 791.9000244 , 795.7000122 ,Nan       ,Nan       ,Nan       , 57.84999847 , 56.40000153 , 56.93000031 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  20.17499161 ,21.47999954 ,21.54000092 ,21.12999916 ,21.29999924 ,  52555200 ,  79.59999847 , 79.59999847 , 80.08000183 , 77.19999695 , 79.91999817 ,   4027375
2019-01-04 ,121.4400024 ,121.4400024 ,121.5999985 ,120.6900024 ,121.3199997 ,13334000 ,2531.939941 ,2531.939941 ,2538.070068 ,2474.330078 ,2474.330078 ,4234140000 ,23433.16016 ,23433.16016 ,23518.64063 ,22894.91992 ,22894.91992 , 396020000 ,189.5511017 ,214.9100037 ,215.3899994 ,210.1900024 ,210.1900024 ,   258700 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 49.22000122 ,46.65000153  ,46.90000153 ,   817277 ,Nan      ,Nan      , 28.07333374 , 26.97333336 , 27.18666649 ,   681150 ,37.03905106 ,Nan       ,Nan      ,46.15000153 ,46.43999863 ,Nan       , 822.9000244 , 796.5999756 , 796.5999756 ,Nan       ,Nan       ,Nan       , 58.31999969 , 56.68999863 , 56.95000076 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  20.00592995 ,21.29999924 ,21.39999962 ,21.01000023 ,21.12999916 ,  60257200 ,  81.44000244 , 81.44000244 , 83.12000275 , 80.48000336 , 81.36000061 ,   4864513
2019-01-07 ,121.8600006 ,121.8600006 ,122.2200012 ,121.5699997 ,122.1600037 , 7473600 ,2549.689941 ,2549.689941 ,2566.159912 ,2524.560059 ,2535.610107 ,4133120000 ,23531.34961 ,23531.34961 ,23687.74023 ,23301.58984 ,23474.25977 , 334200000 ,186.428833  ,211.3699951 ,215.5800018 ,211.3600006 ,213.9299927 ,   301800 ,Nan      ,0.330000013 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 49.79000092 ,48.11000061  ,48.29999924 ,   819939 ,Nan      ,Nan      , 28.65999985 , 27.41333389 , 27.92666626 ,   598500 ,36.86505508 ,Nan       ,Nan      ,46.45999908 ,46.65999985 ,Nan       , 825.4000244 , 818.4000244 , 824.2000122 ,Nan       ,Nan       ,Nan       , 59.45999908 , 58.02999878 , 58.06000137 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.76172256 ,21.04000092 ,21.53000069 ,20.97999954 ,21.47999954 ,  41231900 ,  82.31999969 , 82.31999969 , 84.16000366 , 81.83999634 , 82.16000366 ,   4031138
2019-01-08 ,121.5299988 ,121.5299988 ,121.7099991 ,121.0599976 ,121.1500015 , 7643100 ,2574.409912 ,2574.409912 ,2579.820068 ,2547.560059 ,2568.110107 ,4120060000 ,23787.44922 ,23787.44922 ,23864.65039 ,23581.44922 ,23680.32031 , 317420000 ,188.2193298 ,213.3999939 ,213.4199982 ,204.8399963 ,210.2799988 ,   471500 ,Nan      ,0.300000012 ,0.270000011 ,Nan      ,0.300000012 ,Nan      ,Nan      , 49.95000076 ,48.31000137  ,48.72999954 ,   765981 ,Nan      ,Nan      , 29.42666626 , 28.37333298 , 28.51333237 ,  1074750 ,37.10233307 ,Nan       ,Nan      ,46.24000168 ,47.00999832 ,Nan       , 822.0       , 816.5       , 822.0       ,Nan       ,Nan       ,Nan       , 61.02999878 , 59.20999908 , 59.20999908 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.77111435 ,21.04999924 ,21.06999969 ,20.69000053 ,20.85000038 ,  36313100 ,  84.0        , 84.0        , 84.40000153 , 82.87999725 , 83.44000244 ,   3644150
2019-01-09 ,122.3099976 ,122.3099976 ,122.3399963 ,121.4400024 ,121.4499969 ,10555900 ,2584.959961 ,2584.959961 ,2595.320068 ,2568.889893 ,2580.0      ,4088740000 ,23879.11914 ,23879.11914 ,24084.71094 ,23703.16016 ,23844.26953 , 324570000 ,186.975708  ,211.9900055 ,216.0899963 ,211.6300049 ,214.1600037 ,   305300 ,Nan      ,0.300000012 ,0.300000012 ,Nan      ,0.300000012 ,Nan      ,Nan      , 52.58000183 ,49.70999908  ,49.79999924 ,   891922 ,Nan      ,Nan      , 30.06666756 , 29.09333229 , 29.55999947 ,  1278750 ,37.49779129 ,Nan       ,Nan      ,46.68999863 ,47.02000046 ,Nan       , 823.7999878 , 820.0       , 821.7000122 ,Nan       ,Nan       ,Nan       , 61.36000061 , 60.33000183 , 60.83000183 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  20.02471161 ,21.31999969 ,21.40999985 ,21.01000023 ,21.03000069 ,  55350100 ,  88.40000153 , 88.40000153 , 88.80000305 , 85.51999664 , 86.48000336 ,   6148538
2019-01-10 ,121.5899963 ,121.5899963 ,122.1800003 ,121.5699997 ,121.9800034 , 6672000 ,2596.639893 ,2596.639893 ,2597.820068 ,2562.02002  ,2573.51001  ,3721300000 ,24001.91992 ,24001.91992 ,24014.7793  ,23703.25    ,23811.10938 , 338150000 ,189.1366119 ,214.4400024 ,214.5899963 ,210.8000031 ,211.9199982 ,   268400 ,Nan      ,0.330000013 ,0.300000012 ,Nan      ,0.300000012 ,Nan      ,Nan      , 52.77999878 ,51.36999893  ,52.18000031 ,   821782 ,Nan      ,Nan      , 30.62666702 , 29.73333359 , 29.76666641 ,  1021500 ,37.4187088  ,Nan       ,Nan      ,46.86000061 ,47.31000137 ,Nan       , 822.5       , 821.2000122 , 822.5       ,Nan       ,Nan       ,Nan       , 62.47999954 , 60.81000137 , 61.13000107 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.72415352 ,21.0        ,21.35000038 ,20.95000076 ,21.23999977 ,  38185600 ,  88.80000305 , 88.80000305 , 89.12000275 , 86.80000305 , 87.12000275 ,   2647250
2019-01-11 ,121.8000031 ,121.8000031 ,122.0500031 ,121.6600037 ,121.7399979 , 8622400 ,2596.26001  ,2596.26001  ,2596.27002  ,2577.399902 ,2588.110107 ,3447460000 ,23995.94922 ,23995.94922 ,23996.32031 ,23798.16016 ,23940.00977 , 262650000 ,188.0164337 ,213.1699982 ,214.1799927 ,211.9499969 ,214.1799927 ,   268900 ,Nan      ,0.300000012 ,0.270000011 ,Nan      ,0.300000012 ,Nan      ,Nan      , 53.31000137 ,51.18000031  ,52.27999878 ,   812339 ,Nan      ,Nan      , 30.71999931 , 29.71999931 , 29.99333382 ,   685650 ,37.52152634 ,Nan       ,Nan      ,46.75999832 ,47.09999847 ,Nan       , 813.0       , 813.0       , 813.0       ,Nan       ,Nan       ,Nan       , 62.45000076 , 61.68999863 , 62.08000183 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.79929352 ,21.07999992 ,21.25       ,21.01000023 ,21.05999947 ,  32955600 ,  87.19999695 , 87.19999695 , 88.40000153 , 86.48000336 , 87.83999634 ,   3576688
2019-01-14 ,122.0899963 ,122.0899963 ,122.2399979 ,121.8700027 ,122.1500015 , 6477100 ,2582.610107 ,2582.610107 ,2589.320068 ,2570.409912 ,2580.310059 ,3689370000 ,23909.83984 ,23909.83984 ,23964.90039 ,23765.24023 ,23880.5293  , 277560000 ,188.4662781 ,213.6799927 ,214.6000061 ,211.9499969 ,211.9499969 ,   375800 ,Nan      ,0.300000012 ,0.300000012 ,Nan      ,0.300000012 ,Nan      ,Nan      , 52.11000061 ,50.38000107  ,51.72999954 ,   791527 ,Nan      ,Nan      , 30.98666763 , 30.28666687 , 30.28666687 ,   681900 ,37.79835129 ,Nan       ,Nan      ,46.88000107 ,47.15000153 ,Nan       , 804.0999756 , 798.7999878 , 801.0       ,Nan       ,Nan       ,Nan       , 62.56999969 , 61.72000122 , 61.88000107 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.65840721 ,20.93000031 ,21.27000046 ,20.85000038 ,21.12000084 ,  34552200 ,  85.51999664 , 85.51999664 , 87.44000244 , 85.04000092 , 86.48000336 ,   3882538
2019-01-15 ,121.8799973 ,121.8799973 ,122.3799973 ,121.6200027 ,122.2799988 , 7512500 ,2610.300049 ,2610.300049 ,2613.080078 ,2585.100098 ,2585.100098 ,3601180000 ,24065.58984 ,24065.58984 ,24099.14063 ,23887.92969 ,23914.10938 , 291570000 ,190.0538635 ,215.4799957 ,215.8800049 ,213.1699982 ,213.75      ,   282900 ,Nan      ,0.300000012 ,0.300000012 ,Nan      ,0.300000012 ,Nan      ,Nan      , 52.29999924 ,50.63999939  ,50.77999878 ,   664183 ,Nan      ,Nan      , 30.94666672 , 30.23999977 , 30.76666641 ,   521250 ,37.94071579 ,Nan       ,Nan      ,47.27999878 ,47.61000061 ,Nan       , 797.5999756 , 795.5999756 , 795.5999756 ,Nan       ,Nan       ,Nan       , 63.47999954 , 62.43999863 , 62.49000168 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.35784912 ,20.61000061 ,21.05999947 ,20.42000008 ,21.0        ,  45097700 ,  88.0        , 88.0        , 88.31999969 , 86.80000305 , 86.80000305 ,   2989488
